id,ES-LO,ES-RI,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
26049,ES-LO,ES-RI,Cihuri,2020-11-01,13,50,0.74,891.37,6692.76,0.87
26050,ES-LO,ES-RI,Cirueña,2020-11-01,33,39,0.15,6789.78,8122.24,0.16
26051,ES-LO,ES-RI,Clavijo,2020-11-01,35,38,0.08,3277.73,3757.70,0.13
26052,ES-LO,ES-RI,Cordovín,2020-11-01,24,24,0.00,3123.86,3123.86,0.00
26053,ES-LO,ES-RI,Corera,2020-11-01,20,20,0.00,2793.92,2793.92,0.00
26054,ES-LO,ES-RI,Cornago,2020-11-01,71,79,0.10,5607.70,6549.35,0.14
26055,ES-LO,ES-RI,Corporales,2020-11-01,0,16,1.00,0.00,1909.17,1.00
26056,ES-LO,ES-RI,Cuzcurrita de Río Tirón,2020-11-01,43,63,0.32,5673.65,9075.05,0.37
26057,ES-LO,ES-RI,Daroca de Rioja,2020-11-01,10,10,0.00,1955.72,1955.72,0.00
26058,ES-LO,ES-RI,Enciso,2020-11-01,7,41,0.83,416.84,3863.87,0.89
26059,ES-LO,ES-RI,Entrena,2020-11-01,41,100,0.59,4079.37,11976.83,0.66
26060,ES-LO,ES-RI,Estollo,2020-11-01,22,22,0.00,2917.25,2917.25,0.00
26061,ES-LO,ES-RI,Ezcaray,2020-11-01,9,162,0.94,604.35,17070.08,0.96
26062,ES-LO,ES-RI,Foncea,2020-11-01,13,13,0.00,2102.08,2102.08,0.00
26063,ES-LO,ES-RI,Fonzaleche,2020-11-01,24,48,0.50,1749.25,4294.55,0.59
26064,ES-LO,ES-RI,Fuenmayor,2020-11-01,78,86,0.09,10282.92,11218.27,0.08
26065,ES-LO,ES-RI,Galbárruli,2020-11-01,24,24,0.00,1773.72,1773.72,0.00
26066,ES-LO,ES-RI,Galilea,2020-11-01,27,27,0.00,4468.71,4468.71,0.00
26067,ES-LO,ES-RI,Gallinero de Cameros,2020-11-01,0,9,1.00,0.00,832.03,1.00
26068,ES-LO,ES-RI,Gimileo,2020-11-01,15,15,0.00,1481.58,1481.58,0.00
26069,ES-LO,ES-RI,Grañón,2020-11-01,3,25,0.88,99.51,3619.06,0.97
26070,ES-LO,ES-RI,Grávalos,2020-11-01,15,25,0.40,1638.38,3562.25,0.54
26071,ES-LO,ES-RI,Haro,2020-11-01,101,289,0.65,12227.47,43189.47,0.72
26072,ES-LO,ES-RI,Herce,2020-11-01,8,8,0.00,1323.40,1323.40,0.00
26073,ES-LO,ES-RI,Herramélluri,2020-11-01,9,16,0.44,665.11,1991.37,0.67
26074,ES-LO,ES-RI,Hervías,2020-11-01,22,22,0.00,3137.85,3137.85,0.00
26075,ES-LO,ES-RI,Hormilla,2020-11-01,43,43,0.00,4789.31,4789.31,0.00
26076,ES-LO,ES-RI,Hormilleja,2020-11-01,31,31,0.00,3347.24,3347.24,0.00
26077,ES-LO,ES-RI,Hornillos de Cameros,2020-11-01,11,11,0.00,635.10,635.10,0.00
26078,ES-LO,ES-RI,Hornos de Moncalvillo,2020-11-01,11,16,0.31,469.36,1091.34,0.57
26079,ES-LO,ES-RI,Huércanos,2020-11-01,47,47,0.00,6352.70,6352.70,0.00
26080,ES-LO,ES-RI,Igea,2020-11-01,10,10,0.00,1395.61,1395.61,0.00
26081,ES-LO,ES-RI,Jalón de Cameros,2020-11-01,7,7,0.00,836.08,836.08,0.00
26082,ES-LO,ES-RI,Laguna de Cameros,2020-11-01,31,31,0.00,3168.77,3168.77,0.00
26083,ES-LO,ES-RI,Lagunilla del Jubera,2020-11-01,41,41,0.00,5993.69,5993.69,0.00
26084,ES-LO,ES-RI,Lardero,2020-11-01,36,201,0.82,4793.63,31619.95,0.85
26086,ES-LO,ES-RI,Ledesma de la Cogolla,2020-11-01,10,10,0.00,1116.96,1116.96,0.00
26087,ES-LO,ES-RI,Leiva,2020-11-01,25,49,0.49,1654.32,4933.27,0.66
26088,ES-LO,ES-RI,Leza de Río Leza,2020-11-01,17,17,0.00,2763.21,2763.21,0.00
26089,ES-LO,ES-RI,Logroño,2020-11-01,566,1988,0.72,46305.76,230778.87,0.80
26091,ES-LO,ES-RI,Lumbreras de Cameros,2020-11-01,53,72,0.26,3746.39,7427.38,0.50
26092,ES-LO,ES-RI,Manjarrés,2020-11-01,9,9,0.00,1500.68,1500.68,0.00
26093,ES-LO,ES-RI,Mansilla de la Sierra,2020-11-01,0,8,1.00,0.00,1633.12,1.00
26094,ES-LO,ES-RI,Manzanares de Rioja,2020-11-01,18,18,0.00,2319.43,2319.43,0.00
26095,ES-LO,ES-RI,Matute,2020-11-01,15,15,0.00,2380.44,2380.44,0.00
26096,ES-LO,ES-RI,Medrano,2020-11-01,5,21,0.76,766.75,2700.28,0.72
26098,ES-LO,ES-RI,Munilla,2020-11-01,11,11,0.00,1288.35,1288.35,0.00
26099,ES-LO,ES-RI,Murillo de Río Leza,2020-11-01,4,35,0.89,158.48,4686.57,0.97
26100,ES-LO,ES-RI,Muro de Aguas,2020-11-01,38,71,0.46,1789.22,4629.72,0.61
26101,ES-LO,ES-RI,Muro en Cameros,2020-11-01,37,38,0.03,2153.92,2605.66,0.17
26102,ES-LO,ES-RI,Nájera,2020-11-01,92,159,0.42,11290.58,21641.32,0.48
26103,ES-LO,ES-RI,Nalda,2020-11-01,84,102,0.18,12017.04,14975.52,0.20
26104,ES-LO,ES-RI,Navajún,2020-11-01,0,4,1.00,0.00,1059.78,1.00
26105,ES-LO,ES-RI,Navarrete,2020-11-01,44,97,0.55,4310.63,12917.28,0.67
26106,ES-LO,ES-RI,Nestares,2020-11-01,1,18,0.94,137.25,1228.27,0.89
26107,ES-LO,ES-RI,Nieva de Cameros,2020-11-01,1,33,0.97,14.72,3324.34,1.00
26108,ES-LO,ES-RI,Ocón,2020-11-01,50,77,0.35,6432.98,8906.60,0.28
26109,ES-LO,ES-RI,Ochánduri,2020-11-01,22,25,0.12,1996.31,2781.71,0.28
26110,ES-LO,ES-RI,Ojacastro,2020-11-01,4,47,0.91,265.38,5505.73,0.95
26111,ES-LO,ES-RI,Ollauri,2020-11-01,36,36,0.00,6030.81,6030.81,0.00
26112,ES-LO,ES-RI,Ortigosa de Cameros,2020-11-01,7,22,0.68,511.78,3270.58,0.84
26113,ES-LO,ES-RI,Pazuengos,2020-11-01,12,12,0.00,1041.18,1041.18,0.00
26114,ES-LO,ES-RI,Pedroso,2020-11-01,2,2,0.00,399.55,399.55,0.00
26115,ES-LO,ES-RI,Pinillos,2020-11-01,7,7,0.00,846.96,846.96,0.00
26117,ES-LO,ES-RI,Pradejón,2020-11-01,78,96,0.19,11764.95,15092.07,0.22
26118,ES-LO,ES-RI,Pradillo,2020-11-01,1,10,0.90,192.55,1169.91,0.84
26119,ES-LO,ES-RI,Préjano,2020-11-01,32,58,0.45,1665.67,3903.89,0.57
26120,ES-LO,ES-RI,Quel,2020-11-01,44,52,0.15,5807.13,7177.27,0.19
26121,ES-LO,ES-RI,Rabanera,2020-11-01,6,6,0.00,656.24,656.24,0.00
26122,ES-LO,ES-RI,El Rasillo de Cameros,2020-11-01,2,43,0.95,91.64,7722.35,0.99
26123,ES-LO,ES-RI,El Redal,2020-11-01,18,20,0.10,2191.36,2846.59,0.23
26124,ES-LO,ES-RI,Ribafrecha,2020-11-01,1,255,1.00,402.80,13206.93,0.97
26125,ES-LO,ES-RI,Rincón de Soto,2020-11-01,72,137,0.47,12699.00,21492.58,0.41
26126,ES-LO,ES-RI,Robres del Castillo,2020-11-01,8,9,0.11,907.99,1018.42,0.11
26127,ES-LO,ES-RI,Rodezno,2020-11-01,27,33,0.18,6324.93,6792.27,0.07
26128,ES-LO,ES-RI,Sajazarra,2020-11-01,12,43,0.72,495.37,4072.29,0.88
26129,ES-LO,ES-RI,San Asensio,2020-11-01,72,72,0.00,11350.99,11350.99,0.00
26130,ES-LO,ES-RI,San Millán de la Cogolla,2020-11-01,14,22,0.36,1423.18,3657.32,0.61
26131,ES-LO,ES-RI,San Millán de Yécora,2020-11-01,12,12,0.00,902.10,902.10,0.00
26132,ES-LO,ES-RI,San Román de Cameros,2020-11-01,21,21,0.00,2636.45,2636.45,0.00
26134,ES-LO,ES-RI,Santa Coloma,2020-11-01,3,29,0.90,73.90,2497.27,0.97
26135,ES-LO,ES-RI,Santa Engracia del Jubera,2020-11-01,29,29,0.00,3944.23,3944.23,0.00
26136,ES-LO,ES-RI,Santa Eulalia Bajera,2020-11-01,11,12,0.08,1075.36,1172.25,0.08
26138,ES-LO,ES-RI,Santo Domingo de la Calzada,2020-11-01,48,135,0.64,5972.18,23220.90,0.74
26139,ES-LO,ES-RI,San Torcuato,2020-11-01,9,9,0.00,1952.64,1952.64,0.00
26140,ES-LO,ES-RI,Santurde de Rioja,2020-11-01,2,27,0.93,492.21,4052.54,0.88
26141,ES-LO,ES-RI,Santurdejo,2020-11-01,23,23,0.00,1952.29,1952.29,0.00
26142,ES-LO,ES-RI,San Vicente de la Sonsierra,2020-11-01,51,104,0.51,3964.34,11921.31,0.67
26143,ES-LO,ES-RI,Sojuela,2020-11-01,38,50,0.24,6302.17,7393.51,0.15
26144,ES-LO,ES-RI,Sorzano,2020-11-01,5,39,0.87,505.90,2937.18,0.83
26145,ES-LO,ES-RI,Sotés,2020-11-01,14,14,0.00,2784.32,2784.32,0.00
26146,ES-LO,ES-RI,Soto en Cameros,2020-11-01,31,32,0.03,2637.11,2903.03,0.09
26147,ES-LO,ES-RI,Terroba,2020-11-01,4,4,0.00,502.52,502.52,0.00
26148,ES-LO,ES-RI,Tirgo,2020-11-01,20,20,0.00,2242.18,2242.18,0.00
26149,ES-LO,ES-RI,Tobía,2020-11-01,4,4,0.00,475.83,475.83,0.00
26150,ES-LO,ES-RI,Tormantos,2020-11-01,4,16,0.75,214.51,1510.26,0.86
26151,ES-LO,ES-RI,Torrecilla en Cameros,2020-11-01,18,104,0.83,934.80,4875.88,0.81
26152,ES-LO,ES-RI,Torrecilla sobre Alesanco,2020-11-01,11,11,0.00,1695.04,1695.04,0.00
26153,ES-LO,ES-RI,Torre en Cameros,2020-11-01,4,5,0.20,318.19,480.97,0.34
26154,ES-LO,ES-RI,Torremontalbo,2020-11-01,1,1,0.00,50.91,50.91,0.00
26155,ES-LO,ES-RI,Treviana,2020-11-01,31,31,0.00,3709.30,3709.30,0.00
26157,ES-LO,ES-RI,Tricio,2020-11-01,26,26,0.00,4792.29,4792.29,0.00
26158,ES-LO,ES-RI,Tudelilla,2020-11-01,18,18,0.00,3503.07,3503.07,0.00
26160,ES-LO,ES-RI,Uruñuela,2020-11-01,54,54,0.00,6893.25,6893.25,0.00
26161,ES-LO,ES-RI,Valdemadera,2020-11-01,0,9,1.00,0.00,822.02,1.00
26162,ES-LO,ES-RI,Valgañón,2020-11-01,3,24,0.88,188.11,2773.87,0.93
26163,ES-LO,ES-RI,Ventosa,2020-11-01,19,19,0.00,2720.15,2720.15,0.00
26164,ES-LO,ES-RI,Ventrosa,2020-11-01,2,13,0.85,111.50,1868.61,0.94
26165,ES-LO,ES-RI,Viguera,2020-11-01,28,31,0.10,3496.38,3995.07,0.12
26166,ES-LO,ES-RI,Villalba de Rioja,2020-11-01,13,20,0.35,1034.70,2286.27,0.55
26167,ES-LO,ES-RI,Villalobar de Rioja,2020-11-01,16,16,0.00,2987.35,2987.35,0.00
26168,ES-LO,ES-RI,Villamediana de Iregua,2020-11-01,80,132,0.39,13719.02,22967.16,0.40
26169,ES-LO,ES-RI,Villanueva de Cameros,2020-11-01,0,7,1.00,0.00,1229.82,1.00
26170,ES-LO,ES-RI,El Villar de Arnedo,2020-11-01,35,69,0.49,3080.40,6713.47,0.54
26171,ES-LO,ES-RI,Villar de Torre,2020-11-01,18,18,0.00,3362.52,3362.52,0.00
26172,ES-LO,ES-RI,Villarejo,2020-11-01,2,2,0.00,540.98,540.98,0.00
26173,ES-LO,ES-RI,Villarroya,2020-11-01,1,9,0.89,14.04,782.98,0.98
26174,ES-LO,ES-RI,Villarta-Quintana,2020-11-01,3,34,0.91,246.22,4479.70,0.95
26175,ES-LO,ES-RI,Villavelayo,2020-11-01,0,19,1.00,0.00,1644.92,1.00
26176,ES-LO,ES-RI,Villaverde de Rioja,2020-11-01,11,12,0.08,1328.93,1852.16,0.28
26177,ES-LO,ES-RI,Villoslada de Cameros,2020-11-01,31,187,0.83,1620.53,8830.69,0.82
26178,ES-LO,ES-RI,Viniegra de Abajo,2020-11-01,2,28,0.93,71.52,2821.97,0.97
26179,ES-LO,ES-RI,Viniegra de Arriba,2020-11-01,0,2,1.00,0.00,102.92,1.00
26180,ES-LO,ES-RI,Zarratón,2020-11-01,39,39,0.00,4416.46,4416.46,0.00
26181,ES-LO,ES-RI,Zarzosa,2020-11-01,3,3,0.00,335.73,335.73,0.00
26183,ES-LO,ES-RI,Zorraquín,2020-11-01,1,14,0.93,85.90,1540.92,0.94
-9617122,ES-LO,ES-RI,"Mancomunidad de Nalda, Sorzano y Viguera",2020-11-01,0,0,1,0.00,0.00,1
